object_id,headline,description,material,date,dimensions
1-2024-0583-004,Angénieux Transport Case,"This robust transport case, dating from approximately 1990, showcases the practical design necessary for safeguarding sensitive equipment. Its dimensions, measuring 270 x 260 x 660 mm, and a substantial weight of 24.8 kg, indicate its suitability for heavy or valuable contents. The case features metal reinforcement at the edges and sturdy latches, ensuring durability during transit. A prominent red ""angénieux"" logo suggests its association with the well-known lens manufacturer, implying it was likely used to transport photographic or cinematic lenses.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0588-001,Electronic Device by Fernseh GmbH,"This substantial electronic device, weighing 24.9 kg, features a metallic casing with multiple circular openings and internal wiring visible, suggesting a complex internal mechanism. A prominent ""FERNSEH G-M-B-H"" logo is displayed on the front. The object’s dimensions are 345 x 370 x 500 mm (HxWxD). It dates from around 1960 and likely served a technical or scientific function within the broadcasting or electronics industry of the period. An attached cylindrical component, possibly an accessory or part, is also present.",N/A,um 1960,"Objektmaß HxBxT: 345 x 370 x 500 mm
Masse: 24,9 kg"
1-2024-0735-000,Mid-Century Desktop Telephone,"This desktop telephone, dating from the 1960s, exemplifies the telecommunications technology of its era. The object measures 110 x 100 x 230 mm and weighs 0.65 kg. Its design features a classic handset resting on a base with an array of buttons, all enclosed in a muted green casing. A braided cord connects the handset to the base, with a separate coiled cord extending from the unit, indicating its functional purpose as a communication device. This piece offers a glimpse into everyday domestic and professional life from the mid-20th century.",N/A,1960er Jahre,"Masse: 0,65 kg
Objektmaß HxBxT: 110 x 100 x 230 mm"
1-2024-0795-002,Vintage Precision Electronic Module,"This compact electronic module, dating from 1975, showcases a robust black casing designed for durability. Its front panel features a variety of connectors, switches, and a prominent dial, suggesting a function related to precise control or measurement. The device measures 320 x 210 x 530 mm (excluding the lens) and weighs a substantial 16.9 kg, indicating a substantial internal componentry. The maker's label, ""TAYLOR-HOBSON,"" along with ""ENGLAND,"" hints at its origin and potential application in high-precision industrial or scientific settings.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0694-000,"Early Telegraphy Coil, Circa 1928","This object, measuring 115 x 300 x 150 mm and weighing 0.9 kg, is a telegraphy coil dating from approximately 1928. It features a central cylindrical component mounted on a wooden base, which is fitted with multiple terminals labeled ""TELEFON."" The construction suggests a device used in early electrical communication systems, likely for transmitting or receiving telegraph signals. Its robust design and the presence of specific connection points indicate a functional role in the infrastructure of the period.",N/A,um 1928,"Objektmaß HxBxT: 115 x 300 x 150 mm
Masse: 0,9 kg"
1-2024-0581-000,Vintage Television Monitor,"This vintage television monitor, dating from approximately 1990, exhibits a robust, utilitarian design. Its casing is constructed from metal, and the unit measures 185 x 485 x 550 mm, with a substantial mass of 19.75 kg, suggesting it was built for durability and professional use. The front panel features a screen branded with ""FERNSEH GMBH"" and includes several controls and connectors, hinting at its operational capabilities. The ribbed top surface likely serves as a heat dissipation mechanism for internal components, common in electronic equipment of this era.",N/A,um 1990,"Objektmaß HxBxT: 185 x 485 x 550 mm
Masse: 19,75 kg"
1-2024-0749-000,Digital Component Encoder,"This digital component encoder, produced around 1995, is a significant piece of broadcast technology. Its robust construction, weighing 4.4 kg, and its dimensions of 45 x 480 x 400 mm suggest it was designed for professional rack-mounted use. The front panel features an LCD display for status information and several buttons, indicating its operational controls. This device likely played a crucial role in processing and preparing digital video signals for transmission or storage within a studio or broadcast facility.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 400 mm
Masse: 4,4 kg"
1-2024-0755-000,Control Panel DP-2000,"This control panel, dating to approximately 1995, is a key component for operating complex electronic systems. Its robust metallic construction suggests durability and functionality within an industrial or laboratory setting. The unit measures 90 mm in height, 485 mm in width, and 180 mm in depth, with an approximate weight of 2 kg. The front face is dominated by a grid of input buttons and a display screen, indicative of its role in data input and system monitoring. The rear panel reveals various connectivity ports.",N/A,um 1995,"Objektmaß HxBxT: 90 x 485 x 180 mm
Masse: 2 kg"
1-2024-0795-003,Taylor Hobson Zoom Servo Command Module,"This Taylor Hobson Zoom Servo Command Module, manufactured in 1975, is a robust piece of optical equipment designed for precise control. Its primary function is to manage zoom operations for cameras or other optical systems. The module features a textured black casing with prominent control knobs and a distinct handle for ergonomic use. Notably, it measures 320 x 210 x 530 mm (excluding the lens) and weighs a substantial 16.9 kg, indicating its substantial construction and professional application.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0675-000,Collection of Vintage Electrical Components,"This collection comprises various electrical components dating from 1920 to 1940. The objects, which collectively weigh 1.6 kg, are presented with their packaging, measuring 120 x 280 x 120 mm. The assortment includes several circular devices with metallic and bakelite housings, some featuring visible internal mechanisms or connections. A notable piece is a silver-toned, L-shaped metal tube, and another is a rectangular component housed in a box. The components exhibit designs typical of early 20th-century electrical engineering.",N/A,1920 - 1940,"Masse: 1,6 kg
Objektmaß HxBxT: 120 x 280 x 120 mm (Verpackung)"
