object_id,headline,description,material,date,dimensions
1-2024-0702-000,Machined Component,"This machined component, dated circa 1985, exhibits a sturdy, metallic construction. Its precise dimensions measure 50 mm in height, 110 mm in width, and 110 mm in depth, with a substantial mass of 2.9 kg. The object displays clear evidence of manufacturing, including parallel serrations and a circular aperture, suggesting its function within a larger mechanical assembly. The overall form indicates a high degree of engineering and precision.",N/A,um 1985,"Objektmaß HxBxT: 50 x 110 x 110 mm
Masse: 2,9 kg"
1-2024-0745-000,Industrial Tooling Prototype,"This object, dating from approximately 1985, is a significant component from industrial manufacturing. Measuring 155 x 133 x 500 mm and weighing 8.3 kg, its precise function is yet to be determined, but its robust construction suggests it was designed for intensive use. The visible markings, ""-Touchform-"" and numerical identifiers, indicate it was likely part of a larger system or a specific stage in a production process. Its form, featuring a series of parallel elements, hints at a role in shaping, guiding, or processing materials.",N/A,um 1985,"Objektmaß HxBxT: 155 x 133 x 500 mm
Masse: 8,3 kg"
1-2024-0583-004,Angenieux Transport Case,"This robust transport case, dating from approximately 1990, is designed for the safe handling and transit of equipment. Its construction features a light grey body with reinforced silver-toned metal edges and latches, indicative of a durable, protective enclosure. Two wooden planks are affixed to the exterior. The case bears the ""angenieux"" logo, suggesting it was manufactured or used by the renowned lens company. With dimensions of 270 x 260 x 660 mm and a weight of 24.8 kg, it is substantial enough to house considerable apparatus.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0588-001,Precision Instrument from FERNSCH GMBH,"This object, dating from approximately 1960, is a piece of precision equipment manufactured by FERNSCH GMBH. It measures 345 mm in height, 370 mm in width, and 500 mm in depth, with a substantial mass of 24.9 kg. The external casing, rendered in a neutral grey, features a prominent company logo and several circular apertures. Internally, exposed wiring and components suggest a complex electronic function. A separate cylindrical component, with a flanged end, is also visible.",N/A,um 1960,"Objektmaß HxBxT: 345 x 370 x 500 mm
Masse: 24,9 kg"
1-2024-0735-000,Mid-Century Communication Device,"This telephone, dating from the 1960s, exemplifies the design and functionality of communication technology from that era. Its distinctive shape, with a separate handset connected by a coiled cord, is characteristic of the period. The object measures 110 mm in height, 100 mm in width, and 230 mm in depth, with a weight of 0.65 kg. The material is not specified. The presence of a braided cord connecting the handset and a coiled cord for external connection, along with multiple buttons, indicates its role in telephonic communication.",N/A,1960er Jahre,"Masse: 0,65 kg
Objektmaß HxBxT: 110 x 100 x 230 mm"
1-2024-0795-002,"Electronic Module, 1975","This black, rectangular electronic module, dated 1975, measures 320 x 210 x 530 mm without its lens and weighs 16.9 kg. It features a variety of connectors, switches, and a dial on its various faces. A prominent label identifies the manufacturer as Taylor-Hobson and indicates it is an ""A125/114 - SERVICE MODULE"" from Leicester, England, made in the USA. The robust construction suggests a functional purpose, likely within a larger scientific or industrial apparatus.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0694-000,Early Electrical Apparatus,"This object, dating from approximately 1928, is a laboratory apparatus designed for electrical experimentation. It features a cylindrical component mounted on a wooden base. The base is fitted with terminals labeled ""TELEFON"" and other input/output points, suggesting its use in early telephonic or telegraphic circuit testing. The overall dimensions are 115 x 300 x 150 mm, with a weight of 0.9 kg. The absence of specific material information in the database prompts reliance on visual observation for its construction.",N/A,um 1928,"Objektmaß HxBxT: 115 x 300 x 150 mm
Masse: 0,9 kg"
1-2024-0581-000,Vintage Television Monitor,"This television monitor, dating from approximately 1990, exhibits a robust, utilitarian design characteristic of early broadcasting equipment. Constructed from unspecified materials, its dimensions are 185 mm in height, 485 mm in width, and 550 mm in depth, with a substantial mass of 19.75 kg. The front panel features a screen displaying the ""FERNSEH GMBH"" logo, alongside various controls and connectors, indicative of its professional application. The ribbed top surface and integrated handle suggest portability within a studio or field production environment.",N/A,um 1990,"Objektmaß HxBxT: 185 x 485 x 550 mm
Masse: 19,75 kg"
1-2024-0749-000,Digital Component Encoder,"This digital component encoder, manufactured around 1995, is a rack-mountable electronic device designed for signal processing. Its metallic casing houses various controls and a display panel on the front, suggesting its function within a larger broadcast or media system. The unit measures 45mm in height, 480mm in width, and 400mm in depth, with a total weight of 4.4 kg. Its design indicates a focus on functionality and integration within professional audio-visual workflows of the mid-1990s.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 400 mm
Masse: 4,4 kg"
1-2024-0755-000,Electronic Control Unit,"This electronic control unit, dated circa 1995, features a rectangular metallic casing housing a panel with a digital display, a keypad, and several function buttons. The front panel is labeled ""CONTROL PANEL DP-300,"" indicating its operational purpose. The unit measures 90 x 485 x 180 mm and weighs 2 kg. The rear of the device reveals various ports and connectors, suggesting its role in a larger electronic system or network.",N/A,um 1995,"Objektmaß HxBxT: 90 x 485 x 180 mm
Masse: 2 kg"
1-2024-0795-003,Vintage Taylor-Hobson Zoom Servo Control Module,"This Taylor-Hobson Zoom Servo Command Module, created in 1975, exemplifies precision optical equipment. Its robust construction features a textured black housing, control knobs, and a ribbed handgrip for ergonomic handling. A clamp mechanism, likely for mounting, is attached to the underside. The module weighs 16.9 kg and measures 320 x 210 x 530 mm (excluding lens). Its design suggests a role in professional film or video production, offering advanced control over zoom functions during recording.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0675-000,Collection of Early 20th Century Electrical Components,"This collection comprises various electrical components, dating from 1920 to 1940. The objects, which collectively weigh 1.6 kg, exhibit a range of metallic and dark-colored materials. The individual pieces vary in form and design, suggesting their use in different aspects of early electrical engineering. The provided dimensions of 120 x 280 x 120 mm refer to the packaging, indicating the organized manner in which these historical artifacts were preserved.",N/A,1920 - 1940,"Masse: 1,6 kg
Objektmaß HxBxT: 120 x 280 x 120 mm (Verpackung)"
