object_id,headline,description,material,date,dimensions
1-2024-0582-000,Digitaler Bildverbesserer CPH 1000,"Dieses Gerät, der ""Digital Image Enhancer CPH 1000"" von BTS, stammt aus dem Jahr 1990 und ist für die HDTV-Produktion konzipiert. Seine Konstruktion ist robust, mit den Maßen 270 x 480 x 500 mm und einem Gewicht von 28,5 kg. Das Gehäuse weist ein metallisches Gitter an der Oberseite zur Belüftung auf und beherbergt im Inneren eine Vielzahl von elektronischen Modulen, wie die geöffnete Frontklappe offenbart. Die äußere Beschriftung ""HDTV"" verweist auf seine spezifische Anwendung im Bereich des hochauflösenden Fernsehens, was auf eine fortschrittliche technologische Anwendung seiner Zeit hindeutet.",N/A,um 1990,"Objektmaß HxBxT: 270 x 480 x 500 mm
Masse: 28,5 kg"
1-2024-0701-000,Präzisionsmessinstrument,"Dieses Präzisionsmessinstrument aus dem Jahr 1985, mit einem Durchmesser von 130 mm und einer Höhe von 30 mm, wiegt 0,75 kg. Es besteht aus mehreren Komponenten, darunter ein Gehäuse und mehrere Scheiben. Eine der Scheiben weist feine Gradmarkierungen auf, die auf präzise Winkelmessungen schließen lassen. Die einzelnen Teile deuten auf eine Verwendung in wissenschaftlichen oder technischen Bereichen hin, wo genaue Messungen erforderlich sind. Die klaren und gut lesbaren Skalen unterstreichen die Funktionalität und das durchdachte Design dieses Instruments.",N/A,um 1985,"Ø Höhe: 130 x 30 mm
Masse: 0,75 kg"
1-2024-0582-001,Robuster Transportkoffer,"Dieser robuste Transportkoffer, gefertigt um 1990, zeichnet sich durch seine bemerkenswerte Konstruktion aus. Mit seinen Maßen von 270 mm Höhe, 480 mm Breite und 500 mm Tiefe sowie einem Gewicht von 28,5 kg ist er für den sicheren Transport von wertvollen oder empfindlichen Gegenständen konzipiert. Die verstärkten Ecken und die eingelassenen Griffe zeugen von seiner Funktionalität und Langlebigkeit im professionellen Einsatz. Seine blaue Farbgebung und die metallenen Beschläge verleihen ihm eine markante Erscheinung.",N/A,um 1990,"Objektmaß HxBxT: 270 x 480 x 500 mm
Masse: 28,5 kg"
1-2024-0761-000,Select Panel CP 1412 von BTS,"Dieses Select Panel mit der Bezeichnung CP 1412 wurde um 1995 hergestellt. Das Objekt misst 45 x 480 x 45 mm und wiegt 0,4 kg. Es ist Teil eines technischen Systems, das vermutlich zur Steuerung oder Auswahl von Ausgangssignalen diente, erkennbar an den Beschriftungen ""Output 1"" bis ""Output 6"" und ""Monitor/On/Off"". Die Anordnung der Tasten auf der Frontplatte und die dahinterliegende Leiterplatine deuten auf eine Funktion innerhalb eines größeren technischen Geräts, möglicherweise im Rundfunk- oder Produktionsbereich, hin.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 45 mm
Masse: 0,4 kg"
1-2024-0704-000,"Tragbares Elektronik-Zubehör, um 1985","Dieses kompakte Objekt, das auf circa 1985 datiert ist, misst 170 mm in der Länge, 20 mm in der Breite und 30 mm in der Höhe und wiegt 0,1 kg. Es präsentiert sich in einem robusten, dunklen Gehäuse mit geriffelten Oberflächen. Die Gestaltung lässt auf eine Funktionalität im Bereich der tragbaren Elektronik schließen, möglicherweise als Schutzhülle oder Verbindungselement. Die klaren Linien und die pragmatische Formgebung sind charakteristisch für die Designästhetik der 1980er Jahre, als solche Geräte für den mobilen Einsatz immer wichtiger wurden.",N/A,um 1985,"Objektmaß LxBxH: 170 x 20 x 30 mm
Masse: 0,1 kg"
1-2024-0768-000,Tischradio Lifetec,"Dieses Tischradio der Marke Lifetec, datiert um das Jahr 2000, präsentiert sich in einem rechteckigen, schwarzen Gehäuse. Seine Abmessungen betragen 60 mm in der Höhe, 205 mm in der Breite und 170 mm in der Tiefe. Auffallend ist die perforierte Oberfläche des oberen Teils, die vermutlich der Belüftung oder Schallabstrahlung dient. An der Vorderseite befindet sich ein abgedecktes Display mit Skalen für UKW (FM), Langwelle (LW) und Mittelwelle (MW), sowie die Frequenzangaben in MHz und kHz. Ein Stromkabel ist am Gerät angebracht.",N/A,um 2000,Objektmaß HxBxT: 60 x 205 x 170 mm
1-2024-0584-000,Professionelle Fernsehkamera für HDTV,"Diese beeindruckende professionelle Fernsehkamera, ein Produkt des Jahres 1990, repräsentiert fortgeschrittene HDTV-Technologie ihrer Zeit. Mit ihren beträchtlichen Abmessungen von 480 mm Höhe, 300 mm Breite und 590 mm Tiefe sowie einem Gewicht von 35 kg ist sie ein substanzielles technisches Gerät. Die Kamera mit der Objekt-ID 1-2024-0584-000 zeigt deutliche Markierungen wie ""Philips"", ""BTS"" und ""HDTV"", die auf ihre Herkunft und ihren Zweck im Bereich der hochauflösenden Bildübertragung hinweisen.",N/A,um 1990,"Objektmaß HxBxT: 480 x 300 x 590 mm
Masse: 35 kg"
1-2024-0565-000,Wählscheibentelefon mit Notruffunktion,"Dieses Wählscheibentelefon aus dem Jahr 1959 wiegt 2,05 kg und misst 150 x 240 x 185 mm. Die schwarze Bakalithausung präsentiert ein klassisches Design mit einer Hörergarnitur, die auf einem Sockel ruht. Eine zentrale Wählscheibe mit den Ziffern von 0 bis 9 ist prominent angebracht. Unterhalb der Wählscheibe befindet sich eine Beschriftung, die auf eine Notruffunktion hinweist. Ein geflochtenes Kabel mit Steckverbindern vervollständigt die Funktionalität des Geräts.",N/A,1959,"Masse: 2,05 kg
Objektmaß HxBxT: 150 x 240 x 185 mm"
1-2024-0579-000,Synchrongenerator,"Dieses technische Gerät, ein Synchrongenerator, stammt aus dem Jahr 1970. Mit seinen Abmessungen von 145 x 480 x 385 mm und einem Gewicht von 13,3 kg ist es ein robustes Objekt. Seine Konstruktion deutet auf eine Funktion im Bereich der Elektronik oder Signalverarbeitung hin. Die Beschriftungen und die sichtbare innere Mechanik deuten auf eine komplexe Aufgabe im Steuern oder Synchronisieren von Prozessen hin, typisch für die Studiotechnik oder industrielle Anwendungen der damaligen Zeit.",N/A,um 1970,"Objektmaß HxBxT: 145 x 480 x 385 mm
Masse: 13,3 kg"
1-2024-0584-001,Messgerät aus dem Jahr 1990,"Dieses Messgerät, gefertigt um 1990, weist eine beachtliche Größe von 480 x 300 x 590 mm und ein Gewicht von 35 kg auf. Seine Robustheit deutet auf einen Einsatz in anspruchsvollen Umgebungen hin. Die Frontseite ist mit verschiedenen Anschlüssen, Bedienelementen und Beschriftungen versehen, die auf seine spezifische Funktion und technische Ausrichtung hinweisen. Das Innere offenbart eine komplexe Anordnung elektronischer Bauteile, was die hochentwickelte Technologie dieser Zeit widerspiegelt. Das Gerät repräsentiert die messtechnische Entwicklung der späten 20. Jahrhunderts.",N/A,um 1990,"Objektmaß HxBxT: 480 x 300 x 590 mm
Masse: 35 kg"
1-2024-0762-000,"Auswahlbedienfeld ""SELECT PANEL CP 1412"" von BTS","Dieses Auswahlbedienfeld von BTS, hergestellt um 1995, ist ein wesentlicher Bestandteil technischer Systeme und dient zur Steuerung verschiedener Funktionen. Das Objekt, mit den Maßen 45 x 480 x 45 mm und einem Gewicht von 0,4 kg, zeichnet sich durch sein schlankes, rechteckiges Design aus. Es verfügt über mehrere Tasten, die eine intuitive Bedienung ermöglichen, und trägt die Kennzeichnung ""SELECT PANEL CP 1412"". Die Unterseite offenbart eine integrierte Leiterplatte, die die Funktionalität des Bedienfelds unterstreicht und seine Rolle als Schnittstelle zwischen Benutzer und Gerät hervorhebt.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 45 mm
Masse: 0,4 kg"
1-2024-0698-000,Messinstrument mit drei Anzeigen,"Dieses Messinstrument, gefertigt um 1970, weist eine Höhe von 110 mm, eine Breite von 117 mm und eine Tiefe von 110 mm auf. Es wiegt 0,9 kg und besteht aus einem schwarzen Sockel, auf dem drei runde Anzeigegeräte montiert sind. Diese Instrumente, jede mit einer eigenen Skala und einem Zeiger, sind über eine mechanische Vorrichtung miteinander verbunden. Die genaue Funktion oder das Material der einzelnen Komponenten ist nicht näher spezifiziert, jedoch deutet die Konstruktion auf eine präzise Messaufgabe hin, möglicherweise im technischen oder wissenschaftlichen Bereich.",N/A,um 1970,"Objektmaß HxBxT: 110 x 117 x 110 mm
Masse: 0,9 kg"
1-2024-0740-000,Schaltpult aus den 1960er Jahren,"Dieses Schaltpult, gefertigt in den 1960er Jahren, beeindruckt mit seinen Maßen von 795 x 760 x 520 mm und einem Gewicht von 71 kg. Sein Design kombiniert eine Holzkonstruktion mit einer Bedienfläche, die zahlreiche Schalter, Knöpfe und eine Wählscheibe aufweist. Ein angeschlossenes Telefonhörergerät deutet auf seine Funktion als Kommunikationsschnittstelle hin. Das Objekt war offensichtlich ein zentrales Element zur Steuerung und Vermittlung von Verbindungen in einem technischen Umfeld seiner Zeit und repräsentiert ein Stück technischer Geschichte.",N/A,1960er Jahre,"Objektmaß HxBxT: 795 x 760 x 520 mm
Masse: 71 kg"
1-2024-0588-000,Zeitgenössische Videokamera,"Dieses Objekt, gefertigt um 1960, repräsentiert die technologischen Fortschritte der damaligen Zeit im Bereich der Bildaufzeichnung. Mit seinen Abmessungen von 345 x 370 x 500 mm und einem Gewicht von 24,9 kg handelt es sich um eine robuste und für ihre Zeit leistungsfähige Videokamera. Ihre Gestaltung zeugt von funktionalem Design, das auf den praktischen Einsatz in professionellen Umgebungen zugeschnitten war. Die Kamera war ein wichtiges Werkzeug für Rundfunkanstalten und Produktionsfirmen, um visuelle Inhalte für das aufkommende Medium Fernsehen festzuhalten.",N/A,um 1960,"Objektmaß HxBxT: 345 x 370 x 500 mm
Masse: 24,9 kg"
1-2024-0759-000,Philips CP 328 Kontrollpanel,"Dieses Philips CP 328 Kontrollpanel, gefertigt im Jahr 1995, dient der Steuerung audiovisueller Geräte. Mit seinen kompakten Maßen von 45 x 480 x 45 mm und einem Gewicht von 0,6 kg ist es für den Rackeinbau konzipiert. Das Gerät verfügt über eine Reihe von Tasten und Displays, die eine präzise Bedienung und Überwachung ermöglichen. Seine primäre Funktion liegt in der Bereitstellung einer Benutzeroberfläche für professionelle Audio- und Videoproduktionen oder Broadcasting-Anwendungen, was seine Bedeutung in der technischen Ausstattung von Medieneinrichtungen unterstreicht.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 45 mm
Masse: 0,6 kg"
1-2024-0702-000,Spannfutterbacken,"Dieses Objekt, ein Spannfutterbacken, stammt aus dem Jahr 1985 und ist aus massivem Metall gefertigt. Mit seinen Abmessungen von 50 mm Höhe, 110 mm Breite und 110 mm Tiefe sowie einem Gewicht von 2,9 kg ist es ein robustes Werkzeug. Die präzise Bearbeitung und die sichtbaren Rillen deuten auf seine Funktion in einem mechanischen System hin, wahrscheinlich zur Fixierung von Werkstücken auf einer Drehmaschine oder einem ähnlichen Gerät. Seine Form und Konstruktion zeugen von technischer Funktionalität und industriellem Design.",N/A,um 1985,"Objektmaß HxBxT: 50 x 110 x 110 mm
Masse: 2,9 kg"
1-2024-0745-000,"Präzisionsform ""Touchform""","Dieses Objekt, datiert auf circa 1985, ist eine Präzisionsform mit der Bezeichnung ""Touchform"". Mit den Maßen HxBxT von 155 x 133 x 500 mm und einer Masse von 8,3 kg, besteht es aus einer robusten Konstruktion, die auf Langlebigkeit und Präzision ausgelegt ist. Die leichtgewichtige Aluminiumkonstruktion mit den feingliedrigen Lamellen an der Ober- und Unterseite deutet auf eine spezialisierte Anwendung hin, möglicherweise in industriellen Prozessen, wo taktile oder formgebende Eigenschaften im Vordergrund stehen. Es repräsentiert die Ingenieurskunst und das Design der späten 1980er Jahre.",N/A,um 1985,"Objektmaß HxBxT: 155 x 133 x 500 mm
Masse: 8,3 kg"
1-2024-0583-004,Transportkoffer von Angénieux,"Dieser robuste Transportkoffer, gefertigt um 1990, dient dem sicheren Transport von Equipment. Mit seinen Maßen von 270 x 260 x 660 mm und einem Gewicht von 24,8 kg bietet er ausreichend Platz und Stabilität. Die silberne Metallkonstruktion mit verstärkten Ecken und stabilen Verschlüssen schützt den Inhalt effektiv. Auffällig ist das rote Logo des Herstellers ""angénieux"" auf der Vorderseite, das auf die Herkunft und den Zweck des Koffers hinweist, wahrscheinlich für professionelle optische Geräte.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0588-001,Fernseh-Systemkomponente um 1960,"Dieses Objekt, gefertigt um 1960, repräsentiert eine Komponente eines Fernsehsystems. Mit seinen Abmessungen von 345 x 370 x 500 mm und einer Masse von 24,9 kg deutet seine Größe auf eine signifikante Rolle innerhalb der damaligen Fernsehproduktion oder -übertragung hin. Die geöffnete Hülle gewährt Einblick in die komplexe interne Verkabelung und die mechanischen Komponenten, was auf seine Funktion als technisches Gerät hindeutet. Das Emblem der ""FERNSEH GMBH"" identifiziert den Hersteller und verortet das Objekt in der Geschichte des Rundfunks.",N/A,um 1960,"Objektmaß HxBxT: 345 x 370 x 500 mm
Masse: 24,9 kg"
1-2024-0735-000,"Telefonapparat, 1960er Jahre","Dieses Telefon aus den 1960er Jahren repräsentiert die Kommunikationstechnologie seiner Zeit. Mit seinen kompakten Abmessungen von 110 x 100 x 230 mm und einem Gewicht von 0,65 kg liegt es gut in der Hand. Das klassische Design mit der integrierten Hör-Sprechgarnitur und den Bedientasten zeugt von der Ästhetik und Funktionalität der damaligen Produktion. Das Gerät verfügt über ein Spiralkabel und ein Anschlusskabel, das für die Verbindung mit dem Telefonnetz unerlässlich war. Es ist ein bedeutendes Objekt zur Erforschung der Entwicklungsgeschichte von Telefonen.",N/A,1960er Jahre,"Masse: 0,65 kg
Objektmaß HxBxT: 110 x 100 x 230 mm"
1-2024-0795-002,Kompaktes Steuerungsmodul,"Dieses Objekt, gefertigt im Jahr 1975, repräsentiert ein kompaktes Steuerungsmodul. Mit seinen Abmessungen von 320 x 210 x 530 mm (ohne Objektiv) und einem Gewicht von 16,9 kg deutet seine Beschaffenheit auf eine robuste Bauweise hin. Mehrere Anschlüsse und Bedienelemente, wie Schalter und Drehregler, sind an der Oberfläche angebracht, was auf seine Funktion als zentrales Element in einem größeren System hindeutet. Die Kennzeichnung ""TAYLOR-HOBSON"" und die Bezeichnung ""SERIES MODULE"" auf dem Typenschild verweisen auf den Hersteller und die wahrscheinliche Anwendungsdomäne.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0694-000,Spulengenerator um 1928,"Dieses aus dem Jahr 1928 stammende Gerät ist ein Spulengenerator, der eine wichtige Rolle in der frühen Elektrotechnik spielte. Es besteht aus einer auf einer Holzbasis montierten Spule mit einem Durchmesser von etwa 115 mm und einer Länge von 300 mm. Die Spule, die als Kern für elektrische oder magnetische Feldexperimente diente, wird von zwei Holzzylindern gehalten. Mehrere Anschlussklemmen auf der Holzbasis erlauben die Integration in elektrische Schaltungen. Mit einem Gewicht von 0,9 kg ist es ein solides Instrument für Demonstrationszwecke oder im wissenschaftlichen Labor.",N/A,um 1928,"Objektmaß HxBxT: 115 x 300 x 150 mm
Masse: 0,9 kg"
1-2024-0581-000,Tragbares Kontrollgerät um 1990,"Dieses tragbare Gerät, gefertigt um 1990, dient als Kontrollmonitor und verfügt über eine robuste Konstruktion. Mit einer Masse von 19,75 kg und Abmessungen von 185 mm Höhe, 485 mm Breite und 550 mm Tiefe ist es für den mobilen Einsatz konzipiert. Die Frontpartie zeigt das Markenlogo ""FERNSEH GMBH"" sowie Bedienelemente und Anschlüsse, die auf seine Funktion im Bereich der Fernseh- und Rundfunktechnik hindeuten. Seine Bauweise und die sichtbaren Anschlüsse lassen auf eine professionelle Anwendung schließen.",N/A,um 1990,"Objektmaß HxBxT: 185 x 485 x 550 mm
Masse: 19,75 kg"
1-2024-0749-000,Digitaler Komponenten-Encoder,"Dieses Gerät, hergestellt um 1995, dient als digitaler Komponenten-Encoder und ist ein wichtiger Bestandteil in der Signalverarbeitung. Seine kompakten Abmessungen von 45 x 480 x 400 mm und ein Gewicht von 4,4 kg zeugen von einer robusten Konstruktion. Die Frontplatte weist ein Display sowie diverse Bedienelemente auf, die auf eine präzise Einstellung und Überwachung der kodierten Signale schließen lassen. Seine primäre Funktion liegt in der Umwandlung von analogen oder unkomprimierten digitalen Signalen in komprimierte digitale Datenströme für Übertragungs- oder Speicherzwecke.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 400 mm
Masse: 4,4 kg"
1-2024-0755-000,Kontrollpanel für ein elektronisches System,"Dieses Kontrollpanel, gefertigt um 1995, dient zur Steuerung eines elektronischen Systems. Es präsentiert sich in einem rechteckigen Gehäuse mit einer frontseitigen Bedienoberfläche, bestehend aus Tasten, einem Display und einem Bedienfeld. Die Abmessungen des Objekts betragen 90 x 485 x 180 mm, und es wiegt 2 kg. Die detaillierte Gestaltung der Frontplatte mit Beschriftungen deutet auf eine spezifische technische Funktion hin, deren genaue Art jedoch nicht näher spezifiziert ist.",N/A,um 1995,"Objektmaß HxBxT: 90 x 485 x 180 mm
Masse: 2 kg"
1-2024-0795-003,Taylor-Hobson Zoom Servo Command Module,"Dieses Taylor-Hobson Zoom Servo Command Module, gefertigt im Jahr 1975, ist ein präzises Instrument, das für seine technische Funktionalität konzipiert wurde. Das Gehäuse zeigt eine robuste Konstruktion mit Bedienelementen und Anschlüssen, die auf den Einsatz im professionellen Bereich hinweisen. Mit einer Höhe von 320 mm, einer Breite von 210 mm und einer Tiefe von 530 mm (ohne Objektiv) sowie einem Gewicht von 16,9 kg, repräsentiert dieses Objekt die fortschrittliche Kameratechnik seiner Zeit. Hergestellt in Großbritannien, unterstreicht es die Qualität und Innovation britischer Optikhersteller.",N/A,1975,"Objektmaß HxBxT: 320 x 210 x 530 mm (ohne Objektiv)
Masse: 16,9 kg"
1-2024-0675-000,Konvolut elektromechanischer Bauteile,"Dieses Konvolut umfasst verschiedene elektromechanische Bauteile, die in der Zeit von 1920 bis 1940 hergestellt wurden. Die Objekte variieren in Größe und Form, sind jedoch durch ihre Funktion als Komponenten in elektrischen oder mechanischen Geräten verbunden. Sie zeigen typische Materialien und Bauweisen ihrer Entstehungszeit, die auf eine Verwendung in der aufstrebenden Elektrotechnik und Mechanik des frühen 20. Jahrhunderts hindeuten. Die Objekte wiegen zusammen 1,6 kg. Die Verpackung misst 120 x 280 x 120 mm.",N/A,1920 - 1940,"Masse: 1,6 kg
Objektmaß HxBxT: 120 x 280 x 120 mm (Verpackung)"
